ID;Nome Fantasia;% de mercado;Nacionalidade;Associado;Tipo de Associado;Cidade;Estado;País
60;Empresa 60;8,25%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
85;Empresa 85;7,18%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
62;Empresa 62;6,79%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
8;Empresa 8;5,01%;Nacional;Sim;Efetivo;Guarulhos;São Paulo;Brasil
501;Empresa 501;4,26%;Multinacional;Sim;Efetivo;Araucária;Paraná;Brasil
59;Empresa 59;3,58%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
19;Empresa 19;2,59%;Multinacional;Sim;Efetivo;Cotia;São Paulo;Brasil
121;Empresa 121;2,56%;Multinacional;Sim;Efetivo;Suzano;São Paulo;Brasil
100;Empresa 100;2,34%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
49;Empresa 49;2,26%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
40;Empresa 40;2,25%;Nacional;Sim;Efetivo;Rio de Janeiro;Rio de Janeiro;Brasil
28;Empresa 28;2,21%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
492;Empresa 492;2,19%;Multinacional;Sim;Cooperador;São Paulo;São Paulo;Brasil
65;Empresa 65;2,01%;Nacional;Sim;Efetivo;Rio de Janeiro;Rio de Janeiro;Brasil
1195;Empresa 1195;1,76%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
16;Empresa 16;1,66%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
114;Empresa 114;1,37%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
106;Empresa 106;1,34%;Multinacional;Sim;Efetivo;Rio de Janeiro;Rio de Janeiro;Brasil
76;Empresa 76;1,33%;Multinacional;Sim;Efetivo;Rio de Janeiro;Rio de Janeiro;Brasil
97;Empresa 97;1,33%;Multinacional;-;Efetivo;Guarulhos;São Paulo;Brasil
1244;Empresa 1244;1,10%;Multinacional;Sim;Efetivo;;;
127;Empresa 127;1,10%;Multinacional;Sim;Efetivo;Jaguariúna;São Paulo;Brasil
582;Empresa 582;1,10%;Nacional;Sim;Cooperador;Anápolis;Goiás;Brasil
1207;Empresa 1207;1,05%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
731;Empresa 731;1,04%;Multinacional;Sim;Cooperador;São Paulo;São Paulo;Brasil
37;Empresa 37;1,02%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
99;Empresa 99;0,97%;Nacional;Sim;Efetivo;Hortolândia;São Paulo;Brasil
940;Empresa 940;0,96%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
909;Empresa 909;0,94%;Nacional;Sim;Cooperador;São Paulo;São Paulo;BRASIL
5;Empresa 5;0,92%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
670;Empresa 670;0,83%;Nacional;Sim;Cooperador;Anápolis;Goiás;Brasil
23;Empresa 23;0,80%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
