id;titulo;status;tipo;area;participantes;part_mercado;data_solicitacao;data_aprov;data_divulgacao;data_limite;prorrogada_ate;data_entrega;dias_uteis_para_entrega;complexidade;tipo de resposta;tempo_preenchimento;objetivos;dia da semana de lançamento;dias úteis aberta;dias entre a solicitação e a divulgação;dias para tabulação;;;;;;;;;;;
49;Transformação Digital 2022;Finalizada;Pesquisa fixa anual;Business Support;53;58%;;;;;;14/10/2022;;alta;empresa;;;;;;;;;;;;;;;;;
48;Premiação da Força de Vendas 2022;Finalizada;Pesquisa fixa anual;Business Support;51;45%;;;;;;11/11/2022;;alta;empresa;;;;;;;;;;;;;;;;;
1;Atualização das medidas de prevenção contra COVID-19;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;75;66%;22/11/2022;;24/11/2022;02/12/2022;;07/12/2022;12;;empresa;4;;5;7;2;3;;;;;;;;;;;
2;Pagamento de Impostos;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;48;46%;22/11/2022;;05/12/2022;09/12/2022;;14/12/2022;17;;empresa;3;;2;5;13;3;;;;;;;;;;;
3;Home Office / Relógio de Ponto;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;78;71%;29/11/2022;;12/12/2022;16/12/2022;;20/12/2022;16;;empresa;5;;2;5;13;2;;;;;;;;;;;
4;Transferência de Colaboradores;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;63;56%;09/12/2022;;16/01/2023;20/01/2023;;26/01/2023;35;;empresa;4;entender como as indústrias farmacêuticas estruturam sua política para beneficiar colaboradores que são transferidos para outras localidades.;2;5;38;4;;;;;;;;;;;
5;Compensação de feriados / Expediente no Carnaval de 2023 ;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;66;46%;17/01/2023;;26/01/2023;03/02/2023;;08/02/2023;17;;empresa;5;entender qual é a política das empresas associadas quanto à compensação de horas nas emendas de feriados para as equipes de escritório e de Força de Vendas, além de captar como será o expediente neste Carnaval de 2023.;5;7;9;3;;;;;;;;;;;
6;Previdência privada e Benefícios no desligamento;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;53;56%;30/11/2022;;06/02/2023;10/02/2023;;15/02/2023;56;;empresa;5;entender como estão estruturados os benefícios de previdência privada e para colaboradores aposentados quando são desligados nas empresas associadas ao Sindusfarma.;2;5;68;3;;;;;;;;;;;
7;Atestados de Saúde;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;57;47%;24/01/2023;;13/02/2023;17/02/2023;;27/02/2023;25;;empresa;5;entender quais os critérios e prazos utilizados pelos nossos associados para aceitação de atestados de saúde apresentados pelos seus colaboradores.;2;5;20;6;;;;;;;;;;;
8;Processos trabalhistas no eSocial ;Finalizada;Solicitação de associado;Mercado e Assuntos Jurídicos;48;47%;14/02/2023;;23/02/2023;28/02/2023;;03/03/2023;14;;empresa;2;"diante da obrigatoriedade de lançamento mensal de informações e transmissão dos eventos relacionados às ações trabalhistas e acordos celebrados no âmbito das Comissões de Conciliação Prévia (CCP) e dos Núcleos Intersindicais (Ninter), estabelecida na nova versão de janeiro de 2023 ""S-1.1"" do eSocial, este formulário visa entender qual será o departamento responsável por imputar tais informações.";5;4;9;3;;;;;;;;;;;
9;Estruturas de Supply Chain;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;28;34%;30/01/2023;;28/02/2023;03/03/2023;;09/03/2023;29;;empresa;10;entender as Estruturas de Supply Chain junto aos associados do Sindusfarma. É uma pesquisa aberta de forma anônima (não será possivel identificar o nome das empresas nas estruturas), o que possibilita assim que vocês realizem um Benchmarking de sua estrutura comparando-a com o mercado sem expor a sua empresa.;3;4;29;4;;;;;;;;;;;
10;Convenção Coletiva (RJ);Finalizada;Solicitação de associado;Sindical Trabalhista e RH;39;41%;15/02/2023;;06/03/2023;08/03/2023;;10/03/2023;18;;empresa;2;entender se os laboratórios associados ao Sindusfarma seguem a Convenção Coletiva do Sindicato dos Propagandistas, Propagandistas Vendedores e Vendedores de Produtos Farmacêuticos do Estado do Rio de Janeiro.;2;3;19;2;;;;;;;;;;;
11;Período de apuração de ponto;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;49;42%;16/02/2023;;08/03/2023;10/03/2023;;14/03/2023;19;;empresa;3;entender se as empresas associadas ao Sindusfarma aplicaram alguma alteração no procedimento de apuração do ponto e pagamento de salários em decorrência da portaria 4198 de 19/12/2022.;4;3;20;2;;;;;;;;;;;
12;Serviço de Atendimento ao Consumidor (SAC);Finalizada;Pesquisa fixa anual;Assuntos Regulatórios;124;75%;01/02/2023;;01/02/2023;17/02/2023;;17/03/2023;33;alta;empresa;11;;4;13;0;20;;;;;;;;;;;
13;Benchmarking - Formulário RPBR;Finalizada;Solicitação de associado;Assuntos Regulatórios;87;70%;06/02/2023;;07/03/2023;10/03/2023;15/03/2023;20/03/2023;31;;empresa;3;;3;7;29;6;;;;;;;;;;;
14;Tendências de Cultura para Inovação;Finalizada;Solicitação da área técnica;Assuntos Técnicos;12;26%;02/03/2023;;06/03/2023;10/03/2023;17/03/2023;22/03/2023;15;;empresa;5;;2;10;4;8;;;;;;;;;;;
