id_pergunta;pesquisa_id;pesquisa_titulo;enunciado;tipo;qtd_alternativas;alternativas;linhas_matriz;colunas_matriz;confianca;formato_arquivo;col_origem;observacoes
1;1147;Tecnologia para a Força de Vendas;Qual é a faixa aproximada do total de colaboradores no Brasil?;multipla_escolha;4;1001 a 3000 | 501 a 1000 | Acima de 3000 | Até 500;;;alta;new;20;
2;1147;Tecnologia para a Força de Vendas;Sua empresa possui colaboradores que atuam na Força de Vendas?;multipla_escolha;2;Não | Sim;;;alta;new;21;
3;1147;Tecnologia para a Força de Vendas;Qual é o número total de colaboradores que compõem a Força de Vendas da empresa?;multipla_escolha;6;Acima de 500 | Até 100 | De 101 a 200 | De 201 a 300 | De 301 a 400 | De 401 a 500;;;alta;new;22;
4;1147;Tecnologia para a Força de Vendas;Quais perfis compõem a Força de Vendas?Obs.: mais de uma opção pode ser selecionada.;caixas_de_selecao;7;Representantes de visitação médica | Representantes de ponto de venda (PDV) | Gerentes distritais / regionais | Medical Science Liaison (MSL) | Consultores de Oncologia | Consultores de Doenças Raras | Outros;;;alta;new;23-29;
5;1147;Tecnologia para a Força de Vendas;Quais equipamentos são disponibilizados para cada perfil abaixo?;matriz_avaliacao;28;;Representantes de visitação médica | Representantes de ponto de venda (PDV) | Gerentes distritais / regionais | Medical Science Liaison (MSL) | Consultores de Oncologia | Consultores de Doenças Raras | [Insert text from Other];Notebook | Tablet | Smartphone | Ipad/Table;alta;new;30-58;
6;1147;Tecnologia para a Força de Vendas;É permitido o uso de equipamentos pessoais (Bring Your Own Device – BYOD) para os perfis abaixo;caixas_de_selecao;7;Representantes de visitação médica | Representantes de ponto de venda (PDV) | Gerentes distritais / regionais | Medical Science Liaison (MSL) | Consultores de Oncologia | Consultores de Doenças Raras | [Insert text from Other];;;alta;new;59-65;
7;1147;Tecnologia para a Força de Vendas;Qual o modelo predominante de fornecimento de equipamentos?;caixas_de_selecao;4;Ipad | Notebook | Smartphone | Observações:;;;alta;new;66-69;
8;1147;Tecnologia para a Força de Vendas;Informe a franquia mensal de dados móveis disponibilizada, em gigabytes por mês (GB/mês), para cada perfil da Força de Vendas.;caixas_de_selecao;7;Representantes de visitação médica | Representantes de ponto de venda (PDV) | Gerentes distritais / regionais | Medical Science Liaison (MSL) | Consultores de Oncologia | Consultores de Doenças Raras | [Insert text from Other];;;alta;new;70-76;
9;1147;Tecnologia para a Força de Vendas;Como está estruturada a política de roaming internacional para os perfis abaixo?;caixas_de_selecao;7;Representantes de visitação médica | Representantes de ponto de venda (PDV) | Gerentes distritais / regionais | Medical Science Liaison (MSL) | Consultores de Oncologia | Consultores de Doenças Raras | [Insert text from Other];;;alta;new;77-83;
10;1147;Tecnologia para a Força de Vendas;Como está estruturado o suporte de Tecnologia da Informação (TI) à Força de Vendas?;multipla_escolha;4;Interno e centralizado | Interno e regional | Outros (Por favor, especifique.) | Terceirizado;;;alta;new;84;
11;1147;Tecnologia para a Força de Vendas;Qual é o tempo médio para disponibilização completa dos equipamentos ao novo colaborador?;multipla_escolha;4;De 2 a 5 dias úteis | Mais de 5 dias úteis | No primeiro dia útil | Outros (Por favor, especifique.);;;alta;new;86;
12;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;Qual o número de funcionários de sua empresa elegíveis ao cálculo da cota de Aprendizes?Obs.: devem ser excluídas as funções que exigem escolaridade de nível técnico ou superior de educação, além dos cargos de direção, gerência ou de confiança e terceirizados vinculados à outra organização.;numerica;;;;;alta;old;18;
13;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;A empresa possui um programa de contratação de Jovens Aprendizes?;multipla_escolha;2;Não | Sim;;;alta;old;20;
14;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;A empresa possui quantos Jovens Aprendizes?Obs.: Estas respostas não serão divulgadas individualmente, servirá apenas como base para o cálculo estatístico de cumprimento da cota no resultado.;numerica;;;;;alta;old;21;
15;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;Qual(is) entidade(s) e/ou fornecedor(es) sua empresa utiliza para recrutamento e seleção de Jovens Aprendizes?;caixas_de_selecao;8;CIEE | Espro | Senai | Camp | Nurap | Nube | RENAPSI | Outro;;;alta;old;22-29;
16;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;A entidade e/ou fornecedor apoia no processo de seleção?;multipla_escolha;2;Não | Sim;;;alta;old;30;
17;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;Qual é a carga horária predominante para o Jovem Aprendiz?;multipla_escolha;3;4h | 6h | 8h;;;alta;old;31;
18;112;Cotas de Pessoas com Deficiência e Jovens Aprendizes;Qual é o período do contrato de trabalho predominante para o Jovem Aprendiz?;multipla_escolha;3;12 meses | 18 meses | 24 meses;;;alta;old;32;
