id_resposta;pesquisa_id;id_pergunta;respondent_id;id_empresa;alternativa;linha_matriz;coluna_matriz;valor
1;1147;1;115137090018;6;;;;1001 a 3000
2;1147;1;115136982061;8;;;;1001 a 3000
3;1147;1;115138578930;142;;;;501 a 1000
4;1147;1;115139749643;12;;;;501 a 1000
5;1147;1;115138159740;19;;;;1001 a 3000
6;1147;1;115138254776;93;;;;Até 500
7;1147;1;115138901595;23;;;;Acima de 3000
8;1147;1;115136834682;26;;;;Até 500
9;1147;1;115138303672;649;;;;Até 500
10;1147;1;115138441164;27;;;;Até 500
11;1147;1;115137093799;29;;;;Até 500
12;1147;1;115139651925;658;;;;Até 500
13;1147;1;115138228921;34;;;;1001 a 3000
14;1147;1;115139666371;610;;;;Acima de 3000
15;1147;1;115138235125;48;;;;Até 500
16;1147;1;115138283376;52;;;;Acima de 3000
17;1147;1;115138214026;54;;;;501 a 1000
18;1147;1;115137553356;60;;;;1001 a 3000
19;1147;1;115138426602;62;;;;Acima de 3000
20;1147;1;115136805966;65;;;;1001 a 3000
21;1147;1;115137735247;68;;;;501 a 1000
22;1147;1;115139814891;1041;;;;Até 500
23;1147;1;115139778397;410;;;;Até 500
24;1147;1;115136821351;79;;;;Até 500
25;1147;1;115136978917;85;;;;Acima de 3000
26;1147;1;115137506799;24;;;;Até 500
27;1147;1;115136850645;59;;;;501 a 1000
28;1147;1;115136985880;457;;;;Até 500
29;1147;1;115139727570;102;;;;Acima de 3000
30;1147;1;115138218909;633;;;;501 a 1000
31;1147;1;115136814506;107;;;;Até 500
32;1147;1;115138207834;790;;;;501 a 1000
33;1147;1;115139660452;541;;;;Acima de 3000
34;1147;1;115140069139;118;;;;Até 500
35;1147;1;115136814229;120;;;;501 a 1000
36;1147;1;115138205385;121;;;;Até 500
37;1147;1;115139753028;909;;;;501 a 1000
38;1147;1;115137044167;582;;;;Acima de 3000
39;1147;1;115139658875;128;;;;Até 500
40;1147;1;115136800708;129;;;;Até 500
41;1147;1;115136799144;592;;;;Até 500
42;1147;1;115139691265;689;;;;Até 500
43;1147;1;115136920445;143;;;;Até 500
44;1147;2;115137090018;6;;;;Sim
45;1147;2;115136982061;8;;;;Sim
46;1147;2;115138578930;142;;;;Sim
47;1147;2;115139749643;12;;;;Sim
48;1147;2;115138159740;19;;;;Sim
49;1147;2;115138254776;93;;;;Sim
50;1147;2;115138901595;23;;;;Sim
51;1147;2;115136834682;26;;;;Sim
52;1147;2;115138303672;649;;;;Sim
53;1147;2;115138441164;27;;;;Sim
54;1147;2;115137093799;29;;;;Sim
55;1147;2;115139651925;658;;;;Sim
56;1147;2;115138228921;34;;;;Sim
57;1147;2;115139666371;610;;;;Não
58;1147;2;115138235125;48;;;;Sim
59;1147;2;115138283376;52;;;;Sim
60;1147;2;115138214026;54;;;;Sim
61;1147;2;115137553356;60;;;;Sim
62;1147;2;115138426602;62;;;;Sim
63;1147;2;115136805966;65;;;;Sim
64;1147;2;115137735247;68;;;;Sim
65;1147;2;115139814891;1041;;;;Sim
66;1147;2;115139778397;410;;;;Sim
67;1147;2;115136821351;79;;;;Sim
68;1147;2;115136978917;85;;;;Sim
69;1147;2;115137506799;24;;;;Sim
70;1147;2;115136850645;59;;;;Sim
71;1147;2;115136985880;457;;;;Sim
72;1147;2;115139727570;102;;;;Sim
73;1147;2;115138218909;633;;;;Sim
74;1147;2;115136814506;107;;;;Sim
75;1147;2;115138207834;790;;;;Sim
76;1147;2;115139660452;541;;;;Sim
77;1147;2;115140069139;118;;;;Sim
78;1147;2;115136814229;120;;;;Sim
79;1147;2;115138205385;121;;;;Sim
80;1147;2;115139753028;909;;;;Sim
81;1147;2;115137044167;582;;;;Sim
82;1147;2;115139658875;128;;;;Sim
83;1147;2;115136800708;129;;;;Sim
84;1147;2;115136799144;592;;;;Sim
85;1147;2;115139691265;689;;;;Sim
86;1147;2;115136920445;143;;;;Sim
87;1147;3;115137090018;6;;;;Acima de 500
88;1147;3;115136982061;8;;;;Até 100
89;1147;3;115138578930;142;;;;De 401 a 500
90;1147;3;115139749643;12;;;;De 101 a 200
91;1147;3;115138159740;19;;;;De 401 a 500
92;1147;3;115138254776;93;;;;Até 100
93;1147;3;115138901595;23;;;;De 301 a 400
94;1147;3;115136834682;26;;;;De 101 a 200
95;1147;3;115138303672;649;;;;Até 100
96;1147;3;115138441164;27;;;;Até 100
97;1147;3;115137093799;29;;;;Até 100
98;1147;3;115139651925;658;;;;Até 100
99;1147;3;115138228921;34;;;;Até 100
100;1147;3;115138235125;48;;;;De 201 a 300
101;1147;3;115138283376;52;;;;Acima de 500
102;1147;3;115138214026;54;;;;De 201 a 300
103;1147;3;115137553356;60;;;;Acima de 500
104;1147;3;115138426602;62;;;;Acima de 500
105;1147;3;115136805966;65;;;;Acima de 500
106;1147;3;115137735247;68;;;;Até 100
107;1147;3;115139814891;1041;;;;Até 100
108;1147;3;115139778397;410;;;;Até 100
109;1147;3;115136821351;79;;;;Até 100
110;1147;3;115136978917;85;;;;Acima de 500
111;1147;3;115137506799;24;;;;Até 100
112;1147;3;115136850645;59;;;;De 201 a 300
113;1147;3;115136985880;457;;;;Até 100
114;1147;3;115139727570;102;;;;Acima de 500
115;1147;3;115138218909;633;;;;De 301 a 400
116;1147;3;115136814506;107;;;;Até 100
117;1147;3;115138207834;790;;;;Até 100
118;1147;3;115139660452;541;;;;Acima de 500
119;1147;3;115140069139;118;;;;De 101 a 200
120;1147;3;115136814229;120;;;;De 101 a 200
121;1147;3;115138205385;121;;;;De 201 a 300
122;1147;3;115139753028;909;;;;Acima de 500
123;1147;3;115137044167;582;;;;De 401 a 500
124;1147;3;115139658875;128;;;;Até 100
125;1147;3;115136800708;129;;;;De 101 a 200
126;1147;3;115136799144;592;;;;Até 100
127;1147;3;115139691265;689;;;;De 101 a 200
128;1147;3;115136920445;143;;;;De 101 a 200
129;1147;4;115137090018;6;Representantes de visitação médica;;;
130;1147;4;115136982061;8;Representantes de visitação médica;;;
131;1147;4;115138578930;142;Representantes de visitação médica;;;
132;1147;4;115139749643;12;Representantes de visitação médica;;;
133;1147;4;115138159740;19;Representantes de visitação médica;;;
134;1147;4;115138254776;93;Representantes de visitação médica;;;
135;1147;4;115138901595;23;Representantes de visitação médica;;;
136;1147;4;115136834682;26;Representantes de visitação médica;;;
137;1147;4;115137093799;29;Representantes de visitação médica;;;
138;1147;4;115139651925;658;Representantes de visitação médica;;;
139;1147;4;115138228921;34;Representantes de visitação médica;;;
140;1147;4;115138235125;48;Representantes de visitação médica;;;
141;1147;4;115138283376;52;Representantes de visitação médica;;;
142;1147;4;115138214026;54;Representantes de visitação médica;;;
143;1147;4;115137553356;60;Representantes de visitação médica;;;
144;1147;4;115138426602;62;Representantes de visitação médica;;;
145;1147;4;115136805966;65;Representantes de visitação médica;;;
146;1147;4;115139814891;1041;Representantes de visitação médica;;;
147;1147;4;115139778397;410;Representantes de visitação médica;;;
148;1147;4;115136821351;79;Representantes de visitação médica;;;
149;1147;4;115136978917;85;Representantes de visitação médica;;;
150;1147;4;115137506799;24;Representantes de visitação médica;;;
151;1147;4;115136850645;59;Representantes de visitação médica;;;
152;1147;4;115136985880;457;Representantes de visitação médica;;;
153;1147;4;115139727570;102;Representantes de visitação médica;;;
154;1147;4;115138218909;633;Representantes de visitação médica;;;
155;1147;4;115136814506;107;Representantes de visitação médica;;;
156;1147;4;115139660452;541;Representantes de visitação médica;;;
157;1147;4;115140069139;118;Representantes de visitação médica;;;
158;1147;4;115136814229;120;Representantes de visitação médica;;;
159;1147;4;115139753028;909;Representantes de visitação médica;;;
160;1147;4;115137044167;582;Representantes de visitação médica;;;
161;1147;4;115139658875;128;Representantes de visitação médica;;;
162;1147;4;115136800708;129;Representantes de visitação médica;;;
163;1147;4;115139691265;689;Representantes de visitação médica;;;
164;1147;4;115136920445;143;Representantes de visitação médica;;;
165;1147;4;115136982061;8;Representantes de ponto de venda (PDV);;;
166;1147;4;115138578930;142;Representantes de ponto de venda (PDV);;;
167;1147;4;115139749643;12;Representantes de ponto de venda (PDV);;;
168;1147;4;115136834682;26;Representantes de ponto de venda (PDV);;;
169;1147;4;115138303672;649;Representantes de ponto de venda (PDV);;;
170;1147;4;115138235125;48;Representantes de ponto de venda (PDV);;;
171;1147;4;115138214026;54;Representantes de ponto de venda (PDV);;;
172;1147;4;115137553356;60;Representantes de ponto de venda (PDV);;;
173;1147;4;115138426602;62;Representantes de ponto de venda (PDV);;;
174;1147;4;115136805966;65;Representantes de ponto de venda (PDV);;;
175;1147;4;115136821351;79;Representantes de ponto de venda (PDV);;;
176;1147;4;115136978917;85;Representantes de ponto de venda (PDV);;;
177;1147;4;115139727570;102;Representantes de ponto de venda (PDV);;;
178;1147;4;115138218909;633;Representantes de ponto de venda (PDV);;;
179;1147;4;115138207834;790;Representantes de ponto de venda (PDV);;;
180;1147;4;115139660452;541;Representantes de ponto de venda (PDV);;;
181;1147;4;115136814229;120;Representantes de ponto de venda (PDV);;;
182;1147;4;115139753028;909;Representantes de ponto de venda (PDV);;;
183;1147;4;115136800708;129;Representantes de ponto de venda (PDV);;;
184;1147;4;115137090018;6;Gerentes distritais / regionais;;;
185;1147;4;115136982061;8;Gerentes distritais / regionais;;;
186;1147;4;115138578930;142;Gerentes distritais / regionais;;;
187;1147;4;115139749643;12;Gerentes distritais / regionais;;;
188;1147;4;115138159740;19;Gerentes distritais / regionais;;;
189;1147;4;115138254776;93;Gerentes distritais / regionais;;;
190;1147;4;115138901595;23;Gerentes distritais / regionais;;;
191;1147;4;115136834682;26;Gerentes distritais / regionais;;;
192;1147;4;115138441164;27;Gerentes distritais / regionais;;;
193;1147;4;115139651925;658;Gerentes distritais / regionais;;;
194;1147;4;115138228921;34;Gerentes distritais / regionais;;;
195;1147;4;115138235125;48;Gerentes distritais / regionais;;;
196;1147;4;115138283376;52;Gerentes distritais / regionais;;;
197;1147;4;115138214026;54;Gerentes distritais / regionais;;;
198;1147;4;115137553356;60;Gerentes distritais / regionais;;;
199;1147;4;115138426602;62;Gerentes distritais / regionais;;;
200;1147;4;115136805966;65;Gerentes distritais / regionais;;;
201;1147;4;115139814891;1041;Gerentes distritais / regionais;;;
202;1147;4;115139778397;410;Gerentes distritais / regionais;;;
203;1147;4;115136821351;79;Gerentes distritais / regionais;;;
204;1147;4;115136978917;85;Gerentes distritais / regionais;;;
205;1147;4;115137506799;24;Gerentes distritais / regionais;;;
206;1147;4;115136850645;59;Gerentes distritais / regionais;;;
207;1147;4;115136985880;457;Gerentes distritais / regionais;;;
208;1147;4;115139727570;102;Gerentes distritais / regionais;;;
209;1147;4;115138218909;633;Gerentes distritais / regionais;;;
210;1147;4;115136814506;107;Gerentes distritais / regionais;;;
211;1147;4;115138207834;790;Gerentes distritais / regionais;;;
212;1147;4;115139660452;541;Gerentes distritais / regionais;;;
213;1147;4;115140069139;118;Gerentes distritais / regionais;;;
214;1147;4;115136814229;120;Gerentes distritais / regionais;;;
215;1147;4;115138205385;121;Gerentes distritais / regionais;;;
216;1147;4;115139753028;909;Gerentes distritais / regionais;;;
217;1147;4;115137044167;582;Gerentes distritais / regionais;;;
218;1147;4;115139658875;128;Gerentes distritais / regionais;;;
219;1147;4;115136800708;129;Gerentes distritais / regionais;;;
220;1147;4;115136799144;592;Gerentes distritais / regionais;;;
221;1147;4;115139691265;689;Gerentes distritais / regionais;;;
222;1147;4;115136920445;143;Gerentes distritais / regionais;;;
223;1147;4;115137090018;6;Medical Science Liaison (MSL);;;
224;1147;4;115138578930;142;Medical Science Liaison (MSL);;;
225;1147;4;115138159740;19;Medical Science Liaison (MSL);;;
226;1147;4;115138901595;23;Medical Science Liaison (MSL);;;
227;1147;4;115138235125;48;Medical Science Liaison (MSL);;;
228;1147;4;115138214026;54;Medical Science Liaison (MSL);;;
229;1147;4;115138426602;62;Medical Science Liaison (MSL);;;
230;1147;4;115139814891;1041;Medical Science Liaison (MSL);;;
231;1147;4;115137506799;24;Medical Science Liaison (MSL);;;
232;1147;4;115136850645;59;Medical Science Liaison (MSL);;;
233;1147;4;115136814506;107;Medical Science Liaison (MSL);;;
234;1147;4;115140069139;118;Medical Science Liaison (MSL);;;
235;1147;4;115136814229;120;Medical Science Liaison (MSL);;;
236;1147;4;115138205385;121;Medical Science Liaison (MSL);;;
237;1147;4;115137044167;582;Medical Science Liaison (MSL);;;
238;1147;4;115139658875;128;Medical Science Liaison (MSL);;;
239;1147;4;115136799144;592;Medical Science Liaison (MSL);;;
240;1147;4;115137090018;6;Consultores de Oncologia;;;
241;1147;4;115136982061;8;Consultores de Oncologia;;;
242;1147;4;115138578930;142;Consultores de Oncologia;;;
243;1147;4;115138159740;19;Consultores de Oncologia;;;
244;1147;4;115138901595;23;Consultores de Oncologia;;;
245;1147;4;115138228921;34;Consultores de Oncologia;;;
246;1147;4;115138214026;54;Consultores de Oncologia;;;
247;1147;4;115138426602;62;Consultores de Oncologia;;;
248;1147;4;115137506799;24;Consultores de Oncologia;;;
249;1147;4;115136850645;59;Consultores de Oncologia;;;
250;1147;4;115140069139;118;Consultores de Oncologia;;;
251;1147;4;115138205385;121;Consultores de Oncologia;;;
252;1147;4;115139658875;128;Consultores de Oncologia;;;
253;1147;4;115136799144;592;Consultores de Oncologia;;;
254;1147;4;115138578930;142;Consultores de Doenças Raras;;;
255;1147;4;115138159740;19;Consultores de Doenças Raras;;;
256;1147;4;115138901595;23;Consultores de Doenças Raras;;;
257;1147;4;115138441164;27;Consultores de Doenças Raras;;;
258;1147;4;115138235125;48;Consultores de Doenças Raras;;;
259;1147;4;115138214026;54;Consultores de Doenças Raras;;;
260;1147;4;115137506799;24;Consultores de Doenças Raras;;;
261;1147;4;115136850645;59;Consultores de Doenças Raras;;;
262;1147;4;115140069139;118;Consultores de Doenças Raras;;;
263;1147;4;115138205385;121;Consultores de Doenças Raras;;;
264;1147;4;115139658875;128;Consultores de Doenças Raras;;;
265;1147;4;115136799144;592;Consultores de Doenças Raras;;;
266;1147;4;115136982061;8;Outros;;;
267;1147;4;115138254776;93;Outros;;;
268;1147;4;115136834682;26;Outros;;;
269;1147;4;115138228921;34;Outros;;;
270;1147;4;115138235125;48;Outros;;;
271;1147;4;115138283376;52;Outros;;;
272;1147;4;115138214026;54;Outros;;;
273;1147;4;115137735247;68;Outros;;;
274;1147;4;115139814891;1041;Outros;;;
275;1147;4;115137506799;24;Outros;;;
276;1147;4;115136814506;107;Outros;;;
277;1147;4;115139660452;541;Outros;;;
278;1147;4;115138205385;121;Outros;;;
279;1147;4;115136799144;592;Outros;;;
280;1147;4;115139691265;689;Outros;;;
281;1147;5;115137090018;6;;Representantes de visitação médica;Notebook;
282;1147;5;115139749643;12;;Representantes de visitação médica;Notebook;
283;1147;5;115137093799;29;;Representantes de visitação médica;Notebook;
284;1147;5;115138228921;34;;Representantes de visitação médica;Notebook;
285;1147;5;115139778397;410;;Representantes de visitação médica;Notebook;
286;1147;5;115137506799;24;;Representantes de visitação médica;Notebook;
287;1147;5;115140069139;118;;Representantes de visitação médica;Notebook;
288;1147;5;115137044167;582;;Representantes de visitação médica;Notebook;
289;1147;5;115139658875;128;;Representantes de visitação médica;Notebook;
290;1147;5;115139691265;689;;Representantes de visitação médica;Notebook;
291;1147;5;115137090018;6;;Representantes de visitação médica;Smartphone;
292;1147;5;115138578930;142;;Representantes de visitação médica;Smartphone;
293;1147;5;115139749643;12;;Representantes de visitação médica;Smartphone;
294;1147;5;115138159740;19;;Representantes de visitação médica;Smartphone;
295;1147;5;115138254776;93;;Representantes de visitação médica;Smartphone;
296;1147;5;115138901595;23;;Representantes de visitação médica;Smartphone;
297;1147;5;115137093799;29;;Representantes de visitação médica;Smartphone;
298;1147;5;115139651925;658;;Representantes de visitação médica;Smartphone;
299;1147;5;115138228921;34;;Representantes de visitação médica;Smartphone;
300;1147;5;115138235125;48;;Representantes de visitação médica;Smartphone;
301;1147;5;115138283376;52;;Representantes de visitação médica;Smartphone;
302;1147;5;115138214026;54;;Representantes de visitação médica;Smartphone;
303;1147;5;115137553356;60;;Representantes de visitação médica;Smartphone;
304;1147;5;115138426602;62;;Representantes de visitação médica;Smartphone;
305;1147;5;115136805966;65;;Representantes de visitação médica;Smartphone;
306;1147;5;115139814891;1041;;Representantes de visitação médica;Smartphone;
307;1147;5;115139778397;410;;Representantes de visitação médica;Smartphone;
308;1147;5;115136821351;79;;Representantes de visitação médica;Smartphone;
309;1147;5;115136978917;85;;Representantes de visitação médica;Smartphone;
310;1147;5;115137506799;24;;Representantes de visitação médica;Smartphone;
311;1147;5;115136850645;59;;Representantes de visitação médica;Smartphone;
312;1147;5;115136985880;457;;Representantes de visitação médica;Smartphone;
313;1147;5;115139727570;102;;Representantes de visitação médica;Smartphone;
314;1147;5;115138218909;633;;Representantes de visitação médica;Smartphone;
315;1147;5;115136814506;107;;Representantes de visitação médica;Smartphone;
